x y mag_blue mag_red color
4011.218 5550.437 18.191 17.559 0.631
5089.875 5551.718 19.778 19.334 0.444
3422.575 5555.157 19.105 18.518 0.587
5746.659 5557.029 19.733 19.296 0.437
2533.778 5558.964 15.121 14.311 0.810
4342.071 5570.403 19.623 19.167 0.456
4125.770 5575.729 19.011 18.418 0.593
5532.085 5586.617 18.851 18.264 0.587
5434.850 5597.696 20.034 19.603 0.430
6509.205 5599.356 20.148 19.723 0.425
6494.768 5604.137 18.944 18.348 0.596
4273.952 5613.446 19.750 19.301 0.449
4583.727 5623.485 19.817 19.358 0.459
4920.225 5623.377 19.896 19.465 0.431
5318.479 5622.752 19.752 19.316 0.436
5344.211 5626.456 19.928 19.509 0.420
7811.214 5626.743 18.943 18.347 0.596
5859.422 5632.259 20.119 19.694 0.426
5264.389 5636.880 19.515 19.061 0.454
7242.991 5638.385 19.804 19.370 0.434
3573.665 5644.844 17.723 17.075 0.648
4519.198 5645.458 17.560 16.896 0.665
5094.449 5652.176 18.217 17.562 0.655
6959.674 5655.386 18.863 18.284 0.579
5586.215 5657.803 19.528 19.056 0.472
3001.531 5661.551 19.955 19.516 0.440
5119.369 5662.936 19.785 19.352 0.433
4049.039 5666.159 16.856 16.161 0.695
7840.734 5677.927 20.046 19.624 0.422
4266.638 5680.532 17.984 17.813 0.172
7178.531 5684.324 19.636 19.186 0.449
2574.535 5723.347 19.673 19.232 0.442
6899.288 5729.493 17.753 17.099 0.655
7992.838 5736.430 19.654 19.206 0.448
5787.961 5736.943 19.813 19.354 0.459
3674.692 5742.583 19.809 19.375 0.434
6773.513 5770.964 19.959 19.532 0.427
4315.136 5773.471 20.053 19.629 0.424
3400.331 5802.740 17.394 16.713 0.681
4818.058 5803.229 18.989 18.395 0.594
6626.267 5815.202 20.036 19.619 0.416
8127.674 5816.730 19.453 18.969 0.484
3213.123 5834.758 19.599 19.132 0.467
6819.050 5841.988 19.632 19.195 0.437
5642.050 5846.351 20.140 19.678 0.462
5192.774 5849.958 19.213 18.677 0.536
7479.710 5849.902 19.835 19.407 0.428
4884.037 5869.150 18.752 18.137 0.615
7415.227 5871.957 18.957 18.372 0.585
3107.927 5875.111 16.746 16.616 0.130
2741.022 5886.384 19.282 18.749 0.532
3183.867 5908.005 19.667 19.230 0.437
7495.977 5908.461 19.819 19.387 0.431
4156.782 5918.380 19.182 18.622 0.560
5958.333 5948.561 19.539 19.089 0.450
3822.490 5974.038 19.731 19.291 0.441
5959.752 5974.163 18.363 17.741 0.622
4095.386 5976.691 19.871 19.442 0.429
7461.977 5979.059 19.765 19.333 0.432
5070.460 5981.598 19.241 18.688 0.553
4477.634 5983.477 20.179 19.712 0.466
2749.825 5986.282 19.953 19.520 0.434
